first_name,last_name,email,gender,phone_number,guardian_name,guardian_phone_number,registration_number,address,city,country,date_of_birth
Dory,Halewood,dhalewoodm@apple.com,Male,297-757-8816,Dory Halewood,858-606-3025,92981974,10119 Havey Park,Lyantonde,Uganda,2000-10-10
Nevins,McGarrie,nmcgarrien@joomla.org,Male,139-334-4312,Nevins McGarrie,117-813-6857,91411337,5109 Stoughton Trail,Mgandu,Tanzania,2007-07-29
Malvin,Dunham,mdunhamo@java.com,Male,443-375-0528,Malvin Dunham,835-498-3285,38800834,2479 Mcguire Point,Liuli,Tanzania,2001-12-17
Nikolaus,Chrstine,nchrstinep@vistaprint.com,Male,876-978-5142,Nikolaus Chrstine,547-936-3367,36051595,95 1st Drive,Butere,Kenya,2001-09-11
Inez,Bramelt,ibrameltq@mail.ru,Female,110-541-3297,Inez Bramelt,905-426-2426,12390291,01 Old Shore Lane,Jinja,Uganda,2002-02-10
Zach,Tschursch,ztschurschr@umich.edu,Male,268-469-4489,Zach Tschursch,856-511-3193,27161355,235 Briar Crest Court,Moyo,Uganda,2001-08-18
Ethel,O'Lochan,eolochans@cbc.ca,Female,401-707-3072,Ethel O'Lochan,269-891-2274,63852588,8 Buell Park,Rakai,Uganda,2008-09-22
Nelli,Spurret,nspurrett@un.org,Female,671-192-8118,Nelli Spurret,947-176-6945,41161166,775 Northview Park,Athi River,Kenya,2008-06-27
Claudine,Masters,cmastersu@indiatimes.com,Female,350-898-6527,Claudine Masters,468-928-4296,01003824,7 Johnson Avenue,Mwembe,Tanzania,2007-01-12
Lucille,Carette,lcarettev@topsy.com,Female,346-348-7067,Lucille Carette,493-634-7068,34519831,67 Steensland Lane,Wobulenzi,Uganda,2008-09-22
Con,Rodliff,crodliffw@cisco.com,Male,394-304-5737,Con Rodliff,152-128-3982,49124311,973 Judy Trail,Kisarawe,Tanzania,2007-03-04
Wesley,Hardbattle,whardbattlex@howstuffworks.com,Male,928-319-1973,Wesley Hardbattle,141-415-3542,38153907,65 Old Gate Drive,Nakuru,Kenya,2007-03-31
Ariel,Stair,astairy@epa.gov,Male,534-678-9167,Ariel Stair,700-777-1051,35378341,0324 Melrose Park,Kajiado,Kenya,2007-01-28
Sherline,Grieg,sgriegz@statcounter.com,Female,248-606-0405,Sherline Grieg,655-187-1196,03933260,789 4th Drive,Nkove,Tanzania,2004-12-12
Rusty,Braney,rbraney10@blog.com,Male,183-736-9189,Rusty Braney,656-950-8359,35665091,3 Homewood Circle,Sirari,Tanzania,2007-03-15
Elnora,Cinnamond,ecinnamond11@usda.gov,Female,655-586-5271,Elnora Cinnamond,700-376-4562,29526212,9 Hansons Drive,Bagamoyo,Tanzania,2002-06-19
Pollyanna,Springell,pspringell12@typepad.com,Female,660-293-2381,Pollyanna Springell,299-763-6137,74818743,6339 Northridge Plaza,Magole,Tanzania,2004-12-21
Angelina,Maker,amaker13@webmd.com,Female,996-692-5487,Angelina Maker,291-829-3736,75022896,764 Springview Crossing,Muhoroni,Kenya,2003-12-26
Sully,Cookley,scookley14@bigcartel.com,Male,744-921-5725,Sully Cookley,256-428-9693,98715489,3177 Little Fleur Alley,Mugumu,Tanzania,2002-11-06
Caresa,Simenot,csimenot15@shinystat.com,Female,603-838-1085,Caresa Simenot,686-840-3622,23588008,6 Little Fleur Drive,Bududa,Uganda,2000-04-10
Gordon,Maultby,gmaultby16@google.com,Male,894-168-9757,Gordon Maultby,624-554-3897,30669225,3870 Novick Avenue,Isaka,Tanzania,1999-08-25
Tamara,Pavluk,tpavluk17@networksolutions.com,Female,539-692-8788,Tamara Pavluk,906-311-1398,35483062,0911 Cody Lane,Mlandizi,Tanzania,2004-08-03
Jenelle,Philipsen,jphilipsen18@theatlantic.com,Female,872-660-9316,Jenelle Philipsen,367-524-0929,59122643,8234 Dahle Junction,Urambo,Tanzania,2000-10-15
Les,Greetland,lgreetland19@jigsy.com,Male,814-968-9713,Les Greetland,266-980-8739,75397303,8 Amoth Street,Dar es Salaam,Tanzania,2008-06-28
Ezmeralda,Everist,eeverist1a@so-net.ne.jp,Female,185-524-9120,Ezmeralda Everist,832-599-1671,29230373,461 Clove Hill,Usagara,Tanzania,2006-02-12
Karissa,Oppy,koppy1b@shareasale.com,Female,700-241-8255,Karissa Oppy,498-845-7795,62807655,930 Basil Street,Bukonyo,Tanzania,1999-06-15
Tammy,De Morena,tde1c@nsw.gov.au,Male,616-543-8729,Tammy De Morena,986-316-6968,83386784,491 Forest Run Lane,Matai,Tanzania,2003-01-26
Seamus,Clist,sclist1d@hhs.gov,Male,193-217-5186,Seamus Clist,334-594-1520,04119554,27465 Ridge Oak Way,Homa Bay,Kenya,1999-05-07
Barry,Crickett,bcrickett1e@buzzfeed.com,Male,249-550-3161,Barry Crickett,281-683-1558,30045371,2405 1st Point,Magomeni,Tanzania,2004-01-23
Shandee,Hesbrook,shesbrook1f@domainmarket.com,Female,211-615-1633,Shandee Hesbrook,459-153-0206,64179006,158 Merrick Court,Chanika,Tanzania,1999-11-16
Gerry,Dyster,gdyster1g@google.pl,Male,375-843-6055,Gerry Dyster,991-602-1283,96898952,90667 Brown Way,Kayunga,Uganda,2004-02-21
Christoforo,Sambells,csambells1h@gmpg.org,Male,363-100-8315,Christoforo Sambells,176-531-2115,68052489,586 Farragut Street,Kapchorwa,Uganda,2003-05-02
Karoly,Callow,kcallow1i@wordpress.org,Male,738-696-4433,Karoly Callow,768-376-4202,81637621,539 American Ash Parkway,Madimba,Tanzania,2003-06-18
Christophe,Dumphry,cdumphry1j@soundcloud.com,Male,148-704-0770,Christophe Dumphry,587-167-2633,59255176,88654 Kropf Crossing,Garissa,Kenya,2000-03-01
Sherlock,Boynton,sboynton1k@histats.com,Male,662-480-2418,Sherlock Boynton,405-258-8246,36453062,7 Memorial Pass,Kyaka,Tanzania,2000-11-02
Thain,Miliffe,tmiliffe1l@squidoo.com,Male,222-794-3029,Thain Miliffe,279-460-8709,47871399,9771 Manufacturers Way,Pumwani,Kenya,2004-07-05
Jody,Colombier,jcolombier1m@nationalgeographic.com,Female,166-118-5876,Jody Colombier,585-341-6508,25775908,490 Oak Terrace,Kotido,Uganda,2005-02-26
Darya,Harral,dharral1n@sfgate.com,Female,528-683-2567,Darya Harral,426-598-6415,11888454,858 Ridgeway Plaza,Gulu,Uganda,2000-02-23
Claire,Kerslake,ckerslake1o@jalbum.net,Female,179-782-9157,Claire Kerslake,632-744-8002,44337929,4 Hanson Center,Singida,Tanzania,2008-03-15
Evelyn,Vasler,evasler1p@infoseek.co.jp,Male,441-874-1939,Evelyn Vasler,996-283-6326,55126935,9 Esch Center,Liwale,Tanzania,2006-03-10
Brendan,Murdy,bmurdy1q@disqus.com,Male,402-811-4799,Brendan Murdy,786-470-5751,26879461,861 Center Crossing,Kilifi,Kenya,2004-03-31
Lydia,Sizzey,lsizzey1r@wp.com,Female,955-476-9046,Lydia Sizzey,811-542-5205,99730382,0 Cascade Road,Igunga,Tanzania,2003-10-07
Hildegarde,Flattman,hflattman1s@ibm.com,Female,290-347-9031,Hildegarde Flattman,777-326-6815,67645265,76716 Moulton Street,Nyeri,Kenya,2004-01-29
Kelcey,Cuolahan,kcuolahan1t@liveinternet.ru,Female,426-814-1480,Kelcey Cuolahan,885-312-9521,67928733,04 Monica Point,Hedaru,Tanzania,2001-06-19
Amalia,Frisel,afrisel1u@usnews.com,Female,495-176-4745,Amalia Frisel,445-326-1347,78875500,45 Golf Parkway,Kisarawe,Tanzania,2002-11-01
Olia,Nuccii,onuccii1v@ask.com,Female,774-866-8988,Olia Nuccii,184-903-0765,18924990,60669 Cottonwood Center,Makuyuni,Tanzania,1999-11-04
Peria,Ferguson,pferguson1w@freewebs.com,Female,136-373-1056,Peria Ferguson,792-116-0356,65921921,2433 John Wall Pass,Mugango,Tanzania,2000-03-03
Osbourne,Harper,oharper1x@xing.com,Male,798-513-2299,Osbourne Harper,937-195-7999,52138236,7 Prentice Trail,Kayunga,Uganda,1999-08-11
Lorianne,Redington,lredington1y@biblegateway.com,Female,920-959-1705,Lorianne Redington,860-192-0834,74359411,194 Havey Park,Nyeri,Kenya,2000-03-10
Flint,Boykett,fboykett1z@uiuc.edu,Male,563-472-7444,Flint Boykett,733-623-9723,25401894,26091 Kipling Point,Makueni,Kenya,2000-10-13
Murielle,Cawt,mcawt20@com.com,Female,400-572-3179,Murielle Cawt,704-249-7908,79292177,9235 Division Hill,Nanganga,Tanzania,2003-01-22
Hinze,Bramsom,hbramsom21@dmoz.org,Male,427-541-0276,Hinze Bramsom,119-315-1875,50246807,9 Farragut Terrace,Mtambile,Tanzania,2003-02-02
Hildy,Willgoss,hwillgoss22@forbes.com,Female,560-815-8939,Hildy Willgoss,931-910-0609,34864037,63 Northview Circle,Kisesa,Tanzania,2004-06-14
Gasper,Ghio,gghio23@xrea.com,Male,304-730-7050,Gasper Ghio,616-107-2258,41544382,335 Springview Junction,Ruangwa,Tanzania,2000-07-15
Carole,Glendzer,cglendzer24@taobao.com,Female,430-374-2250,Carole Glendzer,528-387-8654,88471962,030 Warbler Lane,Keruguya,Kenya,1998-11-03
Gertrudis,Yell,gyell25@irs.gov,Female,989-603-0988,Gertrudis Yell,874-306-0362,36688364,7 American Terrace,Malikisi,Kenya,2007-06-03
Henrik,Bartlosz,hbartlosz26@networksolutions.com,Male,698-493-8074,Henrik Bartlosz,684-794-5126,41103936,7229 Southridge Terrace,Rukungiri,Uganda,2000-07-21
Malissa,Eastby,meastby27@artisteer.com,Female,154-181-0915,Malissa Eastby,676-362-9818,27944539,926 Vernon Circle,Dongobesh,Tanzania,2005-08-30
Gare,Blaksley,gblaksley28@angelfire.com,Male,454-785-2407,Gare Blaksley,377-269-6670,08600495,5212 Reinke Pass,Ngora,Uganda,2005-06-09
Nikolaus,Wishart,nwishart29@webmd.com,Male,395-998-2919,Nikolaus Wishart,482-856-9880,58238354,5311 Norway Maple Junction,Bukomansimbi,Uganda,2003-04-06
Jaquith,Watters,jwatters2a@hao123.com,Female,353-807-7992,Jaquith Watters,220-824-9315,42966753,5 Oak Trail,Athi River,Kenya,2000-11-30
Rosabelle,Licari,rlicari2b@earthlink.net,Female,486-294-8062,Rosabelle Licari,129-253-5104,30722896,4 La Follette Drive,Bweyogerere,Uganda,2006-11-08
Tobye,Brigham,tbrigham2c@indiatimes.com,Female,698-147-0974,Tobye Brigham,314-788-9679,72252764,72 Warrior Court,Masumbwe,Tanzania,1999-03-16
Alberik,Brabender,abrabender2d@e-recht24.de,Male,735-646-6980,Alberik Brabender,425-187-8804,61409046,91 Vidon Point,Magole,Tanzania,2005-12-24
Ly,O'Drought,lodrought2e@nbcnews.com,Male,581-571-1028,Ly O'Drought,340-667-7885,39762351,926 Coleman Alley,Old Shinyanga,Tanzania,2003-06-15
Alicea,Oene,aoene2f@netlog.com,Female,588-615-8594,Alicea Oene,313-483-4966,24353964,6957 Everett Avenue,Misasi,Tanzania,2003-01-10
Johnette,Gamlen,jgamlen2g@microsoft.com,Female,747-529-1971,Johnette Gamlen,459-171-1843,35004904,022 Moland Circle,Mwaya,Tanzania,2007-09-01
Corrie,Jakoubec,cjakoubec2h@zdnet.com,Male,763-776-9976,Corrie Jakoubec,957-673-6961,09961449,97 Carberry Point,Ngorongoro,Tanzania,1999-01-18
Anders,Draysey,adraysey2i@artisteer.com,Male,329-493-9475,Anders Draysey,350-472-7737,71068425,41 Cambridge Center,Bugene,Tanzania,2001-08-10
Lucias,Shermore,lshermore2j@sun.com,Male,970-480-0080,Lucias Shermore,815-819-4945,39486392,07 5th Trail,Napak,Uganda,1999-05-25
Birgit,McCrory,bmccrory2k@princeton.edu,Female,814-836-5622,Birgit McCrory,273-564-0747,52318901,93 1st Junction,Nyangao,Tanzania,2007-07-30
Alfie,Heymes,aheymes2l@facebook.com,Male,332-602-8628,Alfie Heymes,672-734-3012,86961851,2685 Tomscot Way,Kinango,Kenya,2003-08-31
Flori,Ciobutaru,fciobutaru2m@theatlantic.com,Female,725-272-7553,Flori Ciobutaru,491-344-5128,60601379,4 Lunder Road,Maswa,Tanzania,2005-04-17
Kristi,Coffee,kcoffee2n@china.com.cn,Female,961-173-7891,Kristi Coffee,693-730-7446,54262121,2 Florence Point,Mbale,Kenya,2001-04-19
Paquito,Williment,pwilliment2o@linkedin.com,Male,318-869-7074,Paquito Williment,791-447-8941,51721250,74 Daystar Way,Machakos,Kenya,1999-01-03
Isaak,Butterwick,ibutterwick2p@twitter.com,Male,991-258-4940,Isaak Butterwick,205-758-6322,49023652,18989 Forest Avenue,Naivasha,Kenya,2003-10-15
Cly,Bilbee,cbilbee2q@indiegogo.com,Male,331-663-7291,Cly Bilbee,490-537-1081,35543099,988 Caliangt Alley,Ngorongoro,Tanzania,2001-09-20
Gaile,Kose,gkose2r@tripod.com,Male,438-554-7615,Gaile Kose,987-361-6988,85086529,00711 Elgar Way,Nanyuki,Kenya,1999-10-13
